method,fpr,tpr,auc
rf,0.047619047619047616,0.6666666666666666,0.935374149659864
rf,0.047619047619047616,0.6904761904761905,0.935374149659864
rf,0.047619047619047616,0.7142857142857143,0.935374149659864
rf,0.047619047619047616,0.7380952380952381,0.935374149659864
rf,0.047619047619047616,0.7619047619047619,0.935374149659864
rf,0.047619047619047616,0.7857142857142857,0.935374149659864
rf,0.047619047619047616,0.8095238095238095,0.935374149659864
rf,0.047619047619047616,0.8333333333333334,0.935374149659864
rf,0.047619047619047616,0.8571428571428571,0.935374149659864
rf,0.047619047619047616,0.8809523809523809,0.935374149659864
rf,0.09523809523809523,0.8809523809523809,0.935374149659864
rf,0.14285714285714285,0.8809523809523809,0.935374149659864
rf,0.19047619047619047,0.8809523809523809,0.935374149659864
rf,0.23809523809523808,0.8809523809523809,0.935374149659864
rf,0.23809523809523808,0.9047619047619048,0.935374149659864
rf,0.2857142857142857,0.9047619047619048,0.935374149659864
rf,0.2857142857142857,0.9285714285714286,0.935374149659864
rf,0.3333333333333333,0.9285714285714286,0.935374149659864
rf,0.38095238095238093,0.9285714285714286,0.935374149659864
rf,0.38095238095238093,0.9523809523809523,0.935374149659864
rf,0.42857142857142855,0.9523809523809523,0.935374149659864
rf,0.47619047619047616,0.9523809523809523,0.935374149659864
rf,0.5238095238095238,0.9523809523809523,0.935374149659864
rf,0.5714285714285714,0.9523809523809523,0.935374149659864
rf,0.6190476190476191,0.9523809523809523,0.935374149659864
rf,0.6666666666666666,0.9523809523809523,0.935374149659864
rf,0.6666666666666666,0.9761904761904762,0.935374149659864
rf,0.6666666666666666,1.0,0.935374149659864
rf,0.7142857142857143,1.0,0.935374149659864
rf,0.7619047619047619,1.0,0.935374149659864
rf,0.8095238095238095,1.0,0.935374149659864
rf,0.8571428571428571,1.0,0.935374149659864
rf,0.9047619047619048,1.0,0.935374149659864
rf,0.9523809523809523,1.0,0.935374149659864
rf,1.0,1.0,0.935374149659864
rf,1.0,1.0,0.935374149659864
cnn,0.0,0.0,0.8276643990929705
cnn,0.0,0.023809523809523808,0.8276643990929705
cnn,0.0,0.047619047619047616,0.8276643990929705
cnn,0.0,0.07142857142857142,0.8276643990929705
cnn,0.0,0.09523809523809523,0.8276643990929705
cnn,0.0,0.11904761904761904,0.8276643990929705
cnn,0.0,0.14285714285714285,0.8276643990929705
cnn,0.0,0.16666666666666666,0.8276643990929705
cnn,0.0,0.19047619047619047,0.8276643990929705
cnn,0.0,0.21428571428571427,0.8276643990929705
cnn,0.0,0.23809523809523808,0.8276643990929705
cnn,0.0,0.2619047619047619,0.8276643990929705
cnn,0.0,0.2857142857142857,0.8276643990929705
cnn,0.047619047619047616,0.2857142857142857,0.8276643990929705
cnn,0.047619047619047616,0.30952380952380953,0.8276643990929705
cnn,0.047619047619047616,0.3333333333333333,0.8276643990929705
cnn,0.09523809523809523,0.3333333333333333,0.8276643990929705
cnn,0.14285714285714285,0.3333333333333333,0.8276643990929705
cnn,0.14285714285714285,0.35714285714285715,0.8276643990929705
cnn,0.14285714285714285,0.38095238095238093,0.8276643990929705
cnn,0.14285714285714285,0.40476190476190477,0.8276643990929705
cnn,0.14285714285714285,0.42857142857142855,0.8276643990929705
cnn,0.14285714285714285,0.4523809523809524,0.8276643990929705
cnn,0.14285714285714285,0.47619047619047616,0.8276643990929705
cnn,0.14285714285714285,0.5,0.8276643990929705
cnn,0.14285714285714285,0.5238095238095238,0.8276643990929705
cnn,0.14285714285714285,0.5476190476190477,0.8276643990929705
cnn,0.14285714285714285,0.5714285714285714,0.8276643990929705
cnn,0.14285714285714285,0.5952380952380952,0.8276643990929705
cnn,0.14285714285714285,0.6190476190476191,0.8276643990929705
cnn,0.19047619047619047,0.6190476190476191,0.8276643990929705
cnn,0.19047619047619047,0.6428571428571429,0.8276643990929705
cnn,0.19047619047619047,0.6666666666666666,0.8276643990929705
cnn,0.19047619047619047,0.6904761904761905,0.8276643990929705
cnn,0.19047619047619047,0.7142857142857143,0.8276643990929705
cnn,0.19047619047619047,0.7380952380952381,0.8276643990929705
cnn,0.19047619047619047,0.7619047619047619,0.8276643990929705
cnn,0.19047619047619047,0.7857142857142857,0.8276643990929705
cnn,0.19047619047619047,0.8095238095238095,0.8276643990929705
cnn,0.19047619047619047,0.8333333333333334,0.8276643990929705
cnn,0.19047619047619047,0.8571428571428571,0.8276643990929705
cnn,0.23809523809523808,0.8571428571428571,0.8276643990929705
cnn,0.23809523809523808,0.8809523809523809,0.8276643990929705
cnn,0.2857142857142857,0.8809523809523809,0.8276643990929705
cnn,0.3333333333333333,0.8809523809523809,0.8276643990929705
cnn,0.38095238095238093,0.8809523809523809,0.8276643990929705
cnn,0.42857142857142855,0.8809523809523809,0.8276643990929705
cnn,0.42857142857142855,0.9047619047619048,0.8276643990929705
cnn,0.42857142857142855,0.9285714285714286,0.8276643990929705
cnn,0.47619047619047616,0.9285714285714286,0.8276643990929705
cnn,0.5238095238095238,0.9285714285714286,0.8276643990929705
cnn,0.5714285714285714,0.9285714285714286,0.8276643990929705
cnn,0.6190476190476191,0.9285714285714286,0.8276643990929705
cnn,0.6666666666666666,0.9285714285714286,0.8276643990929705
cnn,0.7142857142857143,0.9285714285714286,0.8276643990929705
cnn,0.7142857142857143,0.9523809523809523,0.8276643990929705
cnn,0.7619047619047619,0.9523809523809523,0.8276643990929705
cnn,0.8095238095238095,0.9523809523809523,0.8276643990929705
cnn,0.8095238095238095,0.9761904761904762,0.8276643990929705
cnn,0.8571428571428571,0.9761904761904762,0.8276643990929705
cnn,0.9047619047619048,0.9761904761904762,0.8276643990929705
cnn,0.9047619047619048,1.0,0.8276643990929705
cnn,0.9523809523809523,1.0,0.8276643990929705
cnn,1.0,1.0,0.8276643990929705
cnn,1.0,1.0,0.8276643990929705
mlp,0.0,0.0,0.9058956916099773
mlp,0.0,0.023809523809523808,0.9058956916099773
mlp,0.0,0.047619047619047616,0.9058956916099773
mlp,0.0,0.07142857142857142,0.9058956916099773
mlp,0.0,0.09523809523809523,0.9058956916099773
mlp,0.0,0.11904761904761904,0.9058956916099773
mlp,0.0,0.14285714285714285,0.9058956916099773
mlp,0.0,0.16666666666666666,0.9058956916099773
mlp,0.0,0.19047619047619047,0.9058956916099773
mlp,0.0,0.21428571428571427,0.9058956916099773
mlp,0.0,0.23809523809523808,0.9058956916099773
mlp,0.0,0.2619047619047619,0.9058956916099773
mlp,0.0,0.2857142857142857,0.9058956916099773
mlp,0.0,0.30952380952380953,0.9058956916099773
mlp,0.0,0.3333333333333333,0.9058956916099773
mlp,0.0,0.35714285714285715,0.9058956916099773
mlp,0.0,0.38095238095238093,0.9058956916099773
mlp,0.0,0.40476190476190477,0.9058956916099773
mlp,0.0,0.42857142857142855,0.9058956916099773
mlp,0.0,0.4523809523809524,0.9058956916099773
mlp,0.0,0.47619047619047616,0.9058956916099773
mlp,0.0,0.5,0.9058956916099773
mlp,0.0,0.5238095238095238,0.9058956916099773
mlp,0.0,0.5476190476190477,0.9058956916099773
mlp,0.0,0.5714285714285714,0.9058956916099773
mlp,0.0,0.5952380952380952,0.9058956916099773
mlp,0.0,0.6190476190476191,0.9058956916099773
mlp,0.0,0.6428571428571429,0.9058956916099773
mlp,0.0,0.6666666666666666,0.9058956916099773
mlp,0.0,0.6904761904761905,0.9058956916099773
mlp,0.0,0.7142857142857143,0.9058956916099773
mlp,0.0,0.7380952380952381,0.9058956916099773
mlp,0.0,0.7619047619047619,0.9058956916099773
mlp,0.047619047619047616,0.7619047619047619,0.9058956916099773
mlp,0.09523809523809523,0.7619047619047619,0.9058956916099773
mlp,0.09523809523809523,0.7857142857142857,0.9058956916099773
mlp,0.09523809523809523,0.8095238095238095,0.9058956916099773
mlp,0.14285714285714285,0.8095238095238095,0.9058956916099773
mlp,0.14285714285714285,0.8333333333333334,0.9058956916099773
mlp,0.19047619047619047,0.8333333333333334,0.9058956916099773
mlp,0.23809523809523808,0.8333333333333334,0.9058956916099773
mlp,0.2857142857142857,0.8333333333333334,0.9058956916099773
mlp,0.2857142857142857,0.8571428571428571,0.9058956916099773
mlp,0.2857142857142857,0.8809523809523809,0.9058956916099773
mlp,0.3333333333333333,0.8809523809523809,0.9058956916099773
mlp,0.38095238095238093,0.8809523809523809,0.9058956916099773
mlp,0.38095238095238093,0.9047619047619048,0.9058956916099773
mlp,0.42857142857142855,0.9047619047619048,0.9058956916099773
mlp,0.47619047619047616,0.9047619047619048,0.9058956916099773
mlp,0.5238095238095238,0.9047619047619048,0.9058956916099773
mlp,0.5238095238095238,0.9285714285714286,0.9058956916099773
mlp,0.5714285714285714,0.9285714285714286,0.9058956916099773
mlp,0.6190476190476191,0.9285714285714286,0.9058956916099773
mlp,0.6666666666666666,0.9285714285714286,0.9058956916099773
mlp,0.6666666666666666,0.9523809523809523,0.9058956916099773
mlp,0.7142857142857143,0.9523809523809523,0.9058956916099773
mlp,0.7142857142857143,0.9761904761904762,0.9058956916099773
mlp,0.7619047619047619,0.9761904761904762,0.9058956916099773
mlp,0.7619047619047619,1.0,0.9058956916099773
mlp,0.8095238095238095,1.0,0.9058956916099773
mlp,0.8571428571428571,1.0,0.9058956916099773
mlp,0.9047619047619048,1.0,0.9058956916099773
mlp,0.9523809523809523,1.0,0.9058956916099773
mlp,1.0,1.0,0.9058956916099773
mlp,1.0,1.0,0.9058956916099773
